"molecule"	"famille"
"ACIDE OXIDRONIQUE"	"BISPHOSPHONATES"
"ACIDE PAMIDRONIQUE"	"BISPHOSPHONATES"
"ACIDE RISEDRONIQUE"	"BISPHOSPHONATES"
"ACIDE TIAPROFENIQUE"	"ANTI-INFLAMMATOIRES NON STEROIDIENS"
"ACIDE TIAPROFENIQUE"	"HYPERKALIEMIANTS"
"ACIDE TILUDRONIQUE"	"BISPHOSPHONATES"
"ACIDE URSODESOXYCHOLIQUE"	"ACIDES BILIAIRES"
"ACIDE VALPROIQUE"	"ANTICONVULSIVANTS METABOLISES"
"ACIDE VALPROIQUE"	"VALPROIQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE"
"ACIDE ZOLEDRONIQUE"	"BISPHOSPHONATES"
"ACITRETINE"	"RETINOIDES"
"ADEFOVIR"	"MEDICAMENTS NEPHROTOXIQUES"
"ADRENALINE"	"ADRENALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANEE)"
"ADRENALINE"	"SYMPATHOMIMETIQUES ALPHA ET BETA (VOIE IM ET IV)"
"ALCURONIUM"	"CURARES"
"ALCURONIUM"	"CURARES NON DEPOLARISANTS"
"ALFACALCIDOL"	"VITAMINE D"
"ALFENTANIL"	"ANALGESIQUES MORPHINIQUES AGONISTES"
"ALFENTANIL"	"ANALGESIQUES MORPHINIQUES DE PALIER III"
"ALFENTANIL"	"MEDICAMENTS SEDATIFS"
"ALFENTANIL"	"MORPHINIQUES"
"ALFUZOSINE"	"ALPHABLOQUANTS A VISEE UROLOGIQUE (SAUF DOXAZOSINE)"
"ALFUZOSINE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"ALIMEMAZINE"	"HYPNOTIQUES"
"ALIMEMAZINE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"ALIMEMAZINE"	"MEDICAMENTS ABAISSANT LE SEUIL EPILEPTOGENE"
"ALIMEMAZINE"	"MEDICAMENTS ATROPINIQUES"
"ALIMEMAZINE"	"MEDICAMENTS SEDATIFS"
"ALIMEMAZINE"	"NEUROLEPTIQUES"
"ALIMEMAZINE"	"NEUROLEPTIQUES PHENOTHIAZINIQUES"
"ALITRETINOINE"	"RETINOIDES"
"ALIZAPRIDE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"ALIZAPRIDE"	"MEDICAMENTS SEDATIFS"
"ALIZAPRIDE"	"NEUROLEPTIQUES"
"ALIZAPRIDE"	"NEUROLEPTIQUES ANTIEMETIQUES"
"ALLOBARBITAL"	"BARBITURIQUES"
"ALLOBARBITAL"	"MEDICAMENTS SEDATIFS"
"ALMINOPROFENE"	"ANTI-INFLAMMATOIRES NON STEROIDIENS"
"ALMINOPROFENE"	"HYPERKALIEMIANTS"
"ALMOTRIPTAN"	"TRIPTANS"
"ALMOTRIPTAN"	"TRIPTANS METABOLISES PAR LA MAO"
"ALPRAZOLAM"	"BENZODIAZEPINES ET APPARENTES"
"ALPRAZOLAM"	"MEDICAMENTS SEDATIFS"
"ALTEPLASE RECOMBINANTE"	"THROMBOLYTIQUES"
"ALTRETAMINE"	"CYTOTOXIQUES"
"AMANTADINE"	"ANTIPARKINSONIENS DOPAMINERGIQUES"
"AMANTADINE"	"DOPAMINERGIQUES"
"AMBENONIUM"	"ANTICHOLINESTERASIQUES"
"AMBENONIUM"	"BRADYCARDISANTS"
"AMIFOSTINE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"AMIKACINE"	"AMINOSIDES"
"AMIKACINE"	"MEDICAMENTS NEPHROTOXIQUES"
"AMILORIDE"	"ANTIHYPERTENSEURS"
"AMILORIDE"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"AMILORIDE"	"DIURETIQUES"
"AMILORIDE"	"DIURETIQUES EPARGNEURS DE POTASSIUM (SEULS OU ASSOCIES)"
"AMILORIDE"	"HYPERKALIEMIANTS"
"AMILORIDE"	"HYPONATREMIANTS"
"AMILORIDE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"AMINOPHYLLINE"	"THEOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)"
"AMIODARONE"	"ANTIARYTHMIQUES"
"AMIODARONE"	"AUTRES MEDICAMENTS SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES"
"AMIODARONE"	"BRADYCARDISANTS"
"AMIODARONE"	"MEDICAMENTS SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES"
"AMIODARONE"	"TORSADOGENES (SAUF ANTIPARASITAIRES, NEUROLEPTIQUES, METHADONE)"
"AMISULPRIDE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"AMISULPRIDE"	"MEDICAMENTS SEDATIFS"
"AMISULPRIDE"	"MEDICAMENTS SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES"
"AMISULPRIDE"	"NEUROLEPTIQUES"
"AMISULPRIDE"	"NEUROLEPTIQUES ANTIPSYCHOTIQUES (SAUF CLOZAPINE)"
"AMISULPRIDE"	"NEUROLEPTIQUES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES"
"AMITRIPTYLINE"	"ANTIDEPRESSEURS IMIPRAMINIQUES"
"AMITRIPTYLINE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"AMITRIPTYLINE"	"MEDICAMENTS ABAISSANT LE SEUIL EPILEPTOGENE"
"AMITRIPTYLINE"	"MEDICAMENTS ATROPINIQUES"
"AMITRIPTYLINE"	"MEDICAMENTS MIXTES ADRENERGIQUES-SEROTONINERGIQUES"
"AMITRIPTYLINE"	"MEDICAMENTS SEDATIFS"
"AMLODIPINE"	"ANTAGONISTES DES CANAUX CALCIQUES"
"AMLODIPINE"	"ANTIHYPERTENSEURS"
"AMLODIPINE"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"AMLODIPINE"	"DIHYDROPYRIDINES"
"AMLODIPINE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"AMOBARBITAL"	"BARBITURIQUES"
"AMOBARBITAL"	"MEDICAMENTS SEDATIFS"
"AMOXAPINE"	"ANTIDEPRESSEURS IMIPRAMINIQUES"
"AMOXAPINE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"AMOXAPINE"	"MEDICAMENTS ABAISSANT LE SEUIL EPILEPTOGENE"
"AMOXAPINE"	"MEDICAMENTS ATROPINIQUES"
"AMOXICILLINE"	"PENICILLINES"
"AMOXICILLINE"	"PENICILLINES A"
"AMPHOTERICINE B"	"HYPOKALIEMIANTS"
"AMPHOTERICINE B"	"MEDICAMENTS NEPHROTOXIQUES"
"AMPICILLINE"	"PENICILLINES"
"AMPICILLINE"	"PENICILLINES A"
"AMPRENAVIR"	"AMPRENAVIR (ET, PAR EXTRAPOLATION, FOSAMPRENAVIR)"
"AMPRENAVIR"	"INHIBITEURS DE PROTEASE"
"AMPRENAVIR"	"INHIBITEURS DE PROTEASE (SAUF RITONAVIR)"
"AMSACRINE"	"CYTOTOXIQUES"
"APOMORPHINE"	"ANTIPARKINSONIENS DOPAMINERGIQUES"
"APOMORPHINE"	"DOPAMINERGIQUES"
"ARIPIPRAZOLE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"ARIPIPRAZOLE"	"MEDICAMENTS SEDATIFS"
"ARIPIPRAZOLE"	"NEUROLEPTIQUES"
"ARIPIPRAZOLE"	"NEUROLEPTIQUES ANTIPSYCHOTIQUES (SAUF CLOZAPINE)"
"ARSENIEUX"	"MEDICAMENTS SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES"
"ASPARAGINASE"	"CYTOTOXIQUES"
"ATAZANAVIR"	"INHIBITEURS DE PROTEASE"
"ATAZANAVIR"	"INHIBITEURS DE PROTEASE (SAUF RITONAVIR)"
"ATENOLOL"	"ANTIHYPERTENSEURS"
"ATENOLOL"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"ATENOLOL"	"BETA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL)"
"ATENOLOL"	"BETA-BLOQUANTS (SAUF ESMOLOL)"
"ATENOLOL"	"BRADYCARDISANTS"
"ATENOLOL"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"ATORVASTATINE"	"SUBSTRATS A RISQUE DU CYP3A4"
"ATRACURIUM"	"CURARES"
"ATRACURIUM"	"CURARES NON DEPOLARISANTS"
"ATROPINE"	"MEDICAMENTS ATROPINIQUES"
"AVIZAFONE"	"BENZODIAZEPINES ET APPARENTES"
"AVIZAFONE"	"MEDICAMENTS SEDATIFS"
"AZATADINE"	"MEDICAMENTS ATROPINIQUES"
"AZATADINE"	"MEDICAMENTS SEDATIFS"
"AZATHIOPRINE"	"CYTOTOXIQUES"
"AZELASTINE"	"MEDICAMENTS ATROPINIQUES"
"AZELASTINE"	"MEDICAMENTS SEDATIFS"
"AZITHROMYCINE"	"MACROLIDES (SAUF SPIRAMYCINE)"
"BACAMPICILLINE"	"PENICILLINES"
"BACAMPICILLINE"	"PENICILLINES A"
"BACLOFENE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"BACLOFENE"	"MEDICAMENTS SEDATIFS"
"BAMBUTEROL"	"BETA-2 MIMETIQUES"
"BARBITAL"	"BARBITURIQUES"
"BARBITAL"	"MEDICAMENTS SEDATIFS"
"BARNIDIPINE"	"ANTAGONISTES DES CANAUX CALCIQUES"
"BARNIDIPINE"	"ANTIHYPERTENSEURS"
"BARNIDIPINE"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"BARNIDIPINE"	"DIHYDROPYRIDINES"
"BARNIDIPINE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"BCG"	"VACCINS VIVANTS ATTENUES"
"BCG"	"VACCINS VIVANTS ATTENUES (SAUF ANTIAMARILE)"
"BEFUNOLOL"	"ANTIHYPERTENSEURS"
"BEFUNOLOL"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"BEFUNOLOL"	"BETA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL)"
"BEFUNOLOL"	"BETA-BLOQUANTS (SAUF ESMOLOL)"
"BEFUNOLOL"	"BRADYCARDISANTS"
"BEFUNOLOL"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"BENAZEPRIL"	"ANTIHYPERTENSEURS"
"BENAZEPRIL"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"BENAZEPRIL"	"HYPERKALIEMIANTS"
"BENAZEPRIL"	"INHIBITEURS DE L'ENZYME DE CONVERSION"
"BENAZEPRIL"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"BENDROFLUMETHIAZIDE"	"ANTIHYPERTENSEURS"
"BENDROFLUMETHIAZIDE"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"BENDROFLUMETHIAZIDE"	"DIURETIQUES"
"BENDROFLUMETHIAZIDE"	"DIURETIQUES HYPOKALIEMIANTS"
"BENDROFLUMETHIAZIDE"	"DIURETIQUES THIAZIDIQUES ET APPARENTES"
"BENDROFLUMETHIAZIDE"	"HYPOKALIEMIANTS"
"BENDROFLUMETHIAZIDE"	"HYPONATREMIANTS"
"BENDROFLUMETHIAZIDE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"BENETHAMINE-PENICILLINE"	"PENICILLINES"
"BENZALKONIUM"	"SPERMICIDES"
"BENZBROMARONE"	"URICOSURIQUES"
"BENZYLPENICILLINE"	"PENICILLINES"
"BEPRIDIL"	"ANTAGONISTES DES CANAUX CALCIQUES"
"BEPRIDIL"	"ANTIARYTHMIQUES"
"BEPRIDIL"	"ANTIHYPERTENSEURS"
"BEPRIDIL"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"BEPRIDIL"	"AUTRES MEDICAMENTS SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES"
"BEPRIDIL"	"BRADYCARDISANTS"
"BEPRIDIL"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"BEPRIDIL"	"MEDICAMENTS SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES"
"BEPRIDIL"	"TORSADOGENES (SAUF ANTIPARASITAIRES, NEUROLEPTIQUES, METHADONE)"
"BETAMETHASONE"	"GLUCOCORTICOIDES (SAUF HYDROCORTISONE EN TRAITEMENT SUBSTITUTIF)"
"BETAMETHASONE"	"HYPOKALIEMIANTS"
"BETAXOLOL"	"ANTIHYPERTENSEURS"
"BETAXOLOL"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"BETAXOLOL"	"BETA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL)"
"BETAXOLOL"	"BETA-BLOQUANTS (SAUF ESMOLOL)"
"BETAXOLOL"	"BRADYCARDISANTS"
"BETAXOLOL"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"BEZAFIBRATE"	"FIBRATES"
"BEZAFIBRATE"	"FIBRATES (SAUF GEMFIBROZIL)"
"BIPERIDENE"	"ANTIPARKINSONIENS ANTICHOLINERGIQUES"
"BIPERIDENE"	"MEDICAMENTS ATROPINIQUES"
"BISACODYL"	"HYPOKALIEMIANTS"
"BISOPROLOL"	"ANTIHYPERTENSEURS"
"BISOPROLOL"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"BISOPROLOL"	"BETA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL)"
"BISOPROLOL"	"BETA-BLOQUANTS (SAUF ESMOLOL)"
"BISOPROLOL"	"BETA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE"
"BISOPROLOL"	"BRADYCARDISANTS"
"BISOPROLOL"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"BLEOMYCINE"	"CYTOTOXIQUES"
"BOLDO"	"HYPOKALIEMIANTS"
"BOURDAINE"	"HYPOKALIEMIANTS"
"BROMAZEPAM"	"BENZODIAZEPINES ET APPARENTES"
"BROMAZEPAM"	"MEDICAMENTS SEDATIFS"
"BROMOCRIPTINE"	"ALCALOIDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES"
"BROMOCRIPTINE"	"ANTIPARKINSONIENS DOPAMINERGIQUES"
"BROMOCRIPTINE"	"DOPAMINERGIQUES"
"BROMPHENIRAMINE"	"MEDICAMENTS ATROPINIQUES"
"BROMPHENIRAMINE"	"MEDICAMENTS SEDATIFS"
"BROTIZOLAM"	"BENZODIAZEPINES ET APPARENTES"
"BROTIZOLAM"	"MEDICAMENTS SEDATIFS"
"BUCLIZINE"	"MEDICAMENTS ATROPINIQUES"
"BUCLIZINE"	"MEDICAMENTS SEDATIFS"
"BUDESONIDE"	"CORTICOIDES INHALES"
"BUDESONIDE"	"GLUCOCORTICOIDES (SAUF HYDROCORTISONE EN TRAITEMENT SUBSTITUTIF)"
"BUMETANIDE"	"ANTIHYPERTENSEURS"
"BUMETANIDE"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"BUMETANIDE"	"DIURETIQUES"
"BUMETANIDE"	"DIURETIQUES DE L'ANSE"
"BUMETANIDE"	"DIURETIQUES HYPOKALIEMIANTS"
"BUMETANIDE"	"HYPOKALIEMIANTS"
"BUMETANIDE"	"HYPONATREMIANTS"
"BUMETANIDE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"BUPRENORPHINE"	"MEDICAMENTS SEDATIFS"
"BUPRENORPHINE"	"MORPHINIQUES"
"BUPRENORPHINE"	"MORPHINIQUES AGONISTES-ANTAGONISTES"
"BUPRENORPHINE"	"MORPHINIQUES EN TRAITEMENT DE SUBSTITUTION"
"BUPROPIONE"	"MEDICAMENTS ABAISSANT LE SEUIL EPILEPTOGENE"
"BUSULFAN"	"CYTOTOXIQUES"
"BUTALBITAL"	"BARBITURIQUES"
"BUTALBITAL"	"MEDICAMENTS SEDATIFS"
"BUTOBARBITAL"	"BARBITURIQUES"
"BUTOBARBITAL"	"MEDICAMENTS SEDATIFS"
"CABERGOLINE"	"ALCALOIDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES"
"CABERGOLINE"	"DOPAMINERGIQUES"
"CABERGOLINE"	"DOPAMINERGIQUES, HORS PARKINSON"
"CALCITRIOL"	"VITAMINE D"
"CAMAZEPAM"	"BENZODIAZEPINES ET APPARENTES"
"CAMAZEPAM"	"MEDICAMENTS SEDATIFS"
"CANDESARTAN CILEXETIL"	"ANTAGONISTES DES RECEPTEURS DE L'ANGIOTENSINE II"
"CANDESARTAN CILEXETIL"	"ANTIHYPERTENSEURS"
"CANDESARTAN CILEXETIL"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"CANDESARTAN CILEXETIL"	"HYPERKALIEMIANTS"
"CANDESARTAN CILEXETIL"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"CANRENOATE DE POTASSIUM"	"ANTIHYPERTENSEURS"
"CANRENOATE DE POTASSIUM"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"CANRENOATE DE POTASSIUM"	"DIURETIQUES"
"CANRENOATE DE POTASSIUM"	"DIURETIQUES EPARGNEURS DE POTASSIUM (SEULS OU ASSOCIES)"
"CANRENOATE DE POTASSIUM"	"HYPERKALIEMIANTS"
"CANRENOATE DE POTASSIUM"	"HYPONATREMIANTS"
"CANRENOATE DE POTASSIUM"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"CAPECITABINE"	"CYTOTOXIQUES"
"CAPECITABINE"	"FLUOROURACILE (ET, PAR EXTRAPOLATION, TEGAFUR ET CAPECITABINE)"
"CAPTODIAME"	"MEDICAMENTS SEDATIFS"
"CAPTOPRIL"	"ANTIHYPERTENSEURS"
"CAPTOPRIL"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"CAPTOPRIL"	"HYPERKALIEMIANTS"
"CAPTOPRIL"	"INHIBITEURS DE L'ENZYME DE CONVERSION"
"CAPTOPRIL"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"CARBAMAZEPINE"	"ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES"
"CARBAMAZEPINE"	"HYPONATREMIANTS"
"CARBAMAZEPINE"	"INDUCTEURS ENZYMATIQUES"
"CARBINOXAMINE"	"MEDICAMENTS SEDATIFS"
"CARBOPLATINE"	"CYTOTOXIQUES"
"CARBOPLATINE"	"MEDICAMENTS NEPHROTOXIQUES"
"CARBOPLATINE"	"ORGANOPLATINES"
"CARBUTAMIDE"	"SULFAMIDES HYPOGLYCEMIANTS"
"CARMUSTINE"	"CYTOTOXIQUES"
"CARPIPRAMINE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"CARPIPRAMINE"	"NEUROLEPTIQUES"
"CARPIPRAMINE"	"NEUROLEPTIQUES ANTIPSYCHOTIQUES (SAUF CLOZAPINE)"
"CARTEOLOL"	"ANTIHYPERTENSEURS"
"CARTEOLOL"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"CARTEOLOL"	"BETA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL)"
"CARTEOLOL"	"BETA-BLOQUANTS (SAUF ESMOLOL)"
"CARTEOLOL"	"BRADYCARDISANTS"
"CARTEOLOL"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"CARVEDILOL"	"BETA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE"
"CARVEDILOL"	"BRADYCARDISANTS"
"CARVEDILOL"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"CASCARA"	"HYPOKALIEMIANTS"
"CASCARA SAGRADA"	"HYPOKALIEMIANTS"
"CEFAMANDOLE"	"ANTABUSE (REACTION)"
"CELECOXIB"	"ANTI-INFLAMMATOIRES NON STEROIDIENS"
"CELECOXIB"	"HYPERKALIEMIANTS"
"CELIPROLOL"	"ANTIHYPERTENSEURS"
"CELIPROLOL"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"CELIPROLOL"	"BETA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL)"
"CELIPROLOL"	"BETA-BLOQUANTS (SAUF ESMOLOL)"
"CELIPROLOL"	"BRADYCARDISANTS"
"CELIPROLOL"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"CETALKONIUM"	"SPERMICIDES"
"CHLORAMBUCIL"	"CYTOTOXIQUES"
"CHLORDIAZEPOXIDE"	"BENZODIAZEPINES ET APPARENTES"
"CHLORDIAZEPOXIDE"	"MEDICAMENTS SEDATIFS"
"CHLORMADINONE"	"PROGESTATIFS NON CONTRACEPTIFS, ASSOCIES OU NON A UN ESTROGENE"
"CHLORMETHINE"	"CYTOTOXIQUES"
"CHLOROQUINE"	"MEDICAMENTS ABAISSANT LE SEUIL EPILEPTOGENE"
"CHLORPHENAMINE"	"MEDICAMENTS SEDATIFS"
"CHLORPHENOXAMINE"	"MEDICAMENTS SEDATIFS"
"CHLORPROETHAZINE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"CHLORPROETHAZINE"	"MEDICAMENTS ABAISSANT LE SEUIL EPILEPTOGENE"
"CHLORPROETHAZINE"	"MEDICAMENTS ATROPINIQUES"
"CHLORPROETHAZINE"	"MEDICAMENTS SEDATIFS"
"CHLORPROETHAZINE"	"NEUROLEPTIQUES"
"CHLORPROETHAZINE"	"NEUROLEPTIQUES PHENOTHIAZINIQUES"
"CHLORPROMAZINE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"CHLORPROMAZINE"	"MEDICAMENTS ABAISSANT LE SEUIL EPILEPTOGENE"
"CHLORPROMAZINE"	"MEDICAMENTS ATROPINIQUES"
"CHLORPROMAZINE"	"MEDICAMENTS SEDATIFS"
"CHLORPROMAZINE"	"MEDICAMENTS SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES"
"CHLORPROMAZINE"	"NEUROLEPTIQUES"
"CHLORPROMAZINE"	"NEUROLEPTIQUES ANTIPSYCHOTIQUES (SAUF CLOZAPINE)"
"CHLORPROMAZINE"	"NEUROLEPTIQUES PHENOTHIAZINIQUES"
"CHLORPROMAZINE"	"NEUROLEPTIQUES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES"
"CHLORPROPAMIDE"	"SULFAMIDES HYPOGLYCEMIANTS"
"CHLORTALIDONE"	"ANTIHYPERTENSEURS"
"CHLORTALIDONE"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"CHLORTALIDONE"	"DIURETIQUES"
"CHLORTALIDONE"	"DIURETIQUES HYPOKALIEMIANTS"
"CHLORTALIDONE"	"DIURETIQUES THIAZIDIQUES ET APPARENTES"
"CHLORTALIDONE"	"HYPOKALIEMIANTS"
"CHLORTALIDONE"	"HYPONATREMIANTS"
"CHLORTALIDONE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"CHLORTETRACYCLINE"	"CYCLINES"
"CHOLECALCIFEROL"	"VITAMINE D"
"CIBENZOLINE"	"ANTIARYTHMIQUES"
"CIBENZOLINE"	"ANTIARYTHMIQUES CLASSE I (SAUF LIDOCAINE)"
"CICLETANINE"	"ANTIHYPERTENSEURS"
"CICLETANINE"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"CICLETANINE"	"DIURETIQUES"
"CICLETANINE"	"DIURETIQUES HYPOKALIEMIANTS"
"CICLETANINE"	"DIURETIQUES THIAZIDIQUES ET APPARENTES"
"CICLETANINE"	"HYPOKALIEMIANTS"
"CICLETANINE"	"HYPONATREMIANTS"
"CICLETANINE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"CICLOSPORINE"	"HYPERKALIEMIANTS"
"CICLOSPORINE"	"IMMUNOSUPPRESSEURS"
"CICLOSPORINE"	"MEDICAMENTS NEPHROTOXIQUES"
"CICLOSPORINE"	"SUBSTRATS A RISQUE DU CYP3A4"
"CIDOFOVIR"	"MEDICAMENTS NEPHROTOXIQUES"
"CILAZAPRIL"	"ANTIHYPERTENSEURS"
